onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
27.87	0.125	1st/repetition/expected	121	55740	20.0	HIGH_A	1.0	10.467	4.9747	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	1	24	24	20	30	0	n/a	n/a	sub-es25_00_0036.txt	1.0	1	0
28.8695	0.125	2nd/repetition/expected	221	57739	20.0	HIGH_A	1.0	10.467	4.9747	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	1	24	24	20	30	0	n/a	n/a	sub-es25_00_0036.txt	1.0	2	0
39.9605	0.125	1st/repetition/expected	121	79921	20.0	HIGH_A	1.0	11.0758	5.9421	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	2	0	0	40	50	0	n/a	n/a	sub-es25_00_0036.txt	1.0	1	0
40.9605	0.125	2nd/repetition/expected	221	81921	20.0	HIGH_A	1.0	11.0758	5.9421	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	2	0	0	40	50	0	n/a	n/a	sub-es25_00_0036.txt	1.0	2	0
51.128	0.125	Abort	99	102256	20.0	HIGH_A	1.0	10.1496	2.001	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	3	36	36	20	30	-99	n/a	n/a	n/a	-99.0	1	0
63.404	0.125	1st/omission/unexpected	112	126808	20.0	HIGH_A	1.0	9.4709	3.5179	H	82.0	69	70	0	4	0.125	59.0	es25	expsupp	4	0	0	20	30	0	n/a	n/a	sub-es25_00_0037.txt	1.0	1	0
64.4035	0.125	2nd/omission/unexpected	212	128807	20.0	HIGH_A	1.0	9.4709	3.5179	H	82.0	69	70	0	4	0.125	59.0	es25	expsupp	4	0	0	20	30	0	n/a	n/a	sub-es25_00_0037.txt	1.0	2	0
75.3295	0.125	1st/repetition/expected	121	150659	20.0	HIGH_A	1.0	10.6787	5.2313	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	5	36	36	40	50	0	n/a	n/a	sub-es25_00_0037.txt	1.0	1	0
76.3295	0.125	2nd/repetition/expected	221	152659	20.0	HIGH_A	1.0	10.6787	5.2313	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	5	36	36	40	50	0	n/a	n/a	sub-es25_00_0037.txt	1.0	2	0
85.9715	0.125	Abort	99	171943	20.0	HIGH_A	1.0	9.627	2.1432	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	6	24	24	0	10	-99	n/a	n/a	n/a	-99.0	1	0
97.1765	0.125	1st/omission/unexpected	112	194353	20.0	HIGH_A	1.0	9.4278	4.9077	H	82.0	69	70	0	4	0.125	59.0	es25	expsupp	7	12	12	40	50	1	n/a	n/a	sub-es25_00_0038.txt	1.0	1	0
98.176	0.125	2nd/omission/unexpected	212	196352	20.0	HIGH_A	1.0	9.4278	4.9077	H	82.0	69	70	0	4	0.125	59.0	es25	expsupp	7	12	12	40	50	1	n/a	n/a	sub-es25_00_0038.txt	1.0	2	0
109.2635	0.125	1st/repetition/expected	121	218527	20.0	HIGH_A	1.0	10.8398	2.2939	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	8	48	48	0	10	0	n/a	n/a	sub-es25_00_0040.txt	1.0	1	0
110.263	0.125	2nd/repetition/expected	221	220526	20.0	HIGH_A	1.0	10.8398	2.2939	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	8	48	48	0	10	0	n/a	n/a	sub-es25_00_0040.txt	1.0	2	0
120.5105	0.125	1st/repetition/expected	121	241021	20.0	HIGH_A	1.0	10.2291	4.8604	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	9	24	24	40	50	0	n/a	n/a	sub-es25_00_0041.txt	1.0	1	0
121.5105	0.125	2nd/repetition/expected	221	243021	20.0	HIGH_A	1.0	10.2291	4.8604	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	9	24	24	40	50	0	n/a	n/a	sub-es25_00_0041.txt	1.0	2	0
133.512	0.125	1st/repetition/expected	121	267024	20.0	HIGH_A	1.0	11.988	6.284	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	10	48	48	20	30	0	n/a	n/a	sub-es25_00_0042.txt	1.0	1	0
134.512	0.125	2nd/repetition/expected	221	269024	20.0	HIGH_A	1.0	11.988	6.284	H	82.0	69	70	1	4	0.125	59.0	es25	expsupp	10	48	48	20	30	0	n/a	n/a	sub-es25_00_0042.txt	1.0	2	0
144.0215	0.125	1st/omission/unexpected	112	288043	20.0	HIGH_A	1.0	9.4954	4.1651	H	82.0	69	70	0	4	0.125	59.0	es25	expsupp	11	12	12	20	30	0	n/a	n/a	sub-es25_00_0042.txt	1.0	1	0
145.021	0.125	2nd/omission/unexpected	212	290042	20.0	HIGH_A	1.0	9.4954	4.1651	H	82.0	69	70	0	4	0.125	59.0	es25	expsupp	11	12	12	20	30	0	n/a	n/a	sub-es25_00_0042.txt	1.0	2	0
