onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
11.698	0.125	1st/repetition	12	23396	20.0	CHOICE_A	1.0	9.673	5.1125	F	n/a	44	58	1	1	0.125	59.0	es13	detection	1	36	36	20	30	0	2.0	0.645109052658081	sub-es13_00_0005.txt	1.0	1	0
12.6975	0.125	2nd/repetition	22	25395	20.0	CHOICE_A	1.0	9.673	5.1125	F	n/a	44	58	1	1	0.125	59.0	es13	detection	1	36	36	20	30	0	2.0	0.645109052658081	sub-es13_00_0005.txt	1.0	2	0
25.2585	0.125	1st/repetition	12	50517	20.0	CHOICE_A	1.0	9.0337	2.8437	F	n/a	44	58	1	1	0.125	59.0	es13	detection	2	0	0	40	50	0	2.0	0.559359188079834	sub-es13_00_0005.txt	1.0	1	0
26.2585	0.125	2nd/repetition	22	52517	20.0	CHOICE_A	1.0	9.0337	2.8437	F	n/a	44	58	1	1	0.125	59.0	es13	detection	2	0	0	40	50	0	2.0	0.559359188079834	sub-es13_00_0005.txt	1.0	2	0
38.515	0.125	1st/omission	11	77030	20.0	CHOICE_A	1.0	8.7337	3.741	F	n/a	44	58	0	1	0.125	59.0	es13	detection	3	48	48	20	30	0	1.0	0.535546178817749	sub-es13_00_0005.txt	1.0	1	0
39.5155	0.125	2nd/omission	21	79031	20.0	CHOICE_A	1.0	8.7337	3.741	F	n/a	44	58	0	1	0.125	59.0	es13	detection	3	48	48	20	30	0	1.0	0.535546178817749	sub-es13_00_0005.txt	1.0	2	0
53.109	0.125	1st/omission	11	106218	20.0	CHOICE_A	1.0	9.8406	2.3503	F	n/a	44	58	0	1	0.125	59.0	es13	detection	4	12	12	0	10	0	1.0	0.7807861518859863	sub-es13_00_0005.txt	1.0	1	0
54.109	0.125	2nd/omission	21	108218	20.0	CHOICE_A	1.0	9.8406	2.3503	F	n/a	44	58	0	1	0.125	59.0	es13	detection	4	12	12	0	10	0	1.0	0.7807861518859863	sub-es13_00_0005.txt	1.0	2	0
67.791	0.125	1st/omission	11	135582	20.0	CHOICE_A	1.0	9.9284	3.4094	F	n/a	44	58	0	1	0.125	59.0	es13	detection	5	0	0	0	10	0	1.0	1.8570262145996093	sub-es13_00_0005.txt	1.0	1	0
68.7915	0.125	2nd/omission	21	137583	20.0	CHOICE_A	1.0	9.9284	3.4094	F	n/a	44	58	0	1	0.125	59.0	es13	detection	5	0	0	0	10	0	1.0	1.8570262145996093	sub-es13_00_0005.txt	1.0	2	0
84.3645	0.125	1st/repetition	12	168729	20.0	CHOICE_A	1.0	11.8198	2.7429	F	n/a	44	58	1	1	0.125	59.0	es13	detection	6	24	24	30	40	0	2.0	0.5133010101318359	sub-es13_00_0005.txt	1.0	1	0
85.364	0.125	2nd/repetition	22	170728	20.0	CHOICE_A	1.0	11.8198	2.7429	F	n/a	44	58	1	1	0.125	59.0	es13	detection	6	24	24	30	40	0	2.0	0.5133010101318359	sub-es13_00_0005.txt	1.0	2	0
100.154	0.125	1st/repetition	12	200308	20.0	CHOICE_A	1.0	11.2669	6.082999999999999	F	n/a	44	58	1	1	0.125	59.0	es13	detection	7	24	24	0	10	0	1.0	0.9046670150756836	sub-es13_00_0005.txt	1.0	1	0
101.154	0.125	2nd/repetition	22	202308	20.0	CHOICE_A	1.0	11.2669	6.082999999999999	F	n/a	44	58	1	1	0.125	59.0	es13	detection	7	24	24	0	10	0	1.0	0.9046670150756836	sub-es13_00_0005.txt	1.0	2	0
115.171	0.125	1st/omission	11	230342	20.0	CHOICE_A	1.0	10.4935	5.3672	F	n/a	44	58	0	1	0.125	59.0	es13	detection	8	36	36	40	50	0	1.0	0.7068110656738281	sub-es13_00_0005.txt	1.0	1	0
116.171	0.125	2nd/omission	21	232342	20.0	CHOICE_A	1.0	10.4935	5.3672	F	n/a	44	58	0	1	0.125	59.0	es13	detection	8	36	36	40	50	0	1.0	0.7068110656738281	sub-es13_00_0005.txt	1.0	2	0
131.341	0.125	1st/repetition	12	262682	20.0	CHOICE_A	1.0	11.4159	5.2561	F	n/a	44	58	1	1	0.125	59.0	es13	detection	9	36	36	0	10	0	2.0	0.9098111343383788	sub-es13_00_0005.txt	1.0	1	0
132.341	0.125	2nd/repetition	22	264682	20.0	CHOICE_A	1.0	11.4159	5.2561	F	n/a	44	58	1	1	0.125	59.0	es13	detection	9	36	36	0	10	0	2.0	0.9098111343383788	sub-es13_00_0005.txt	1.0	2	0
144.6155	0.125	1st/repetition	12	289231	20.0	CHOICE_A	1.0	8.752	4.0033	F	n/a	44	58	1	1	0.125	59.0	es13	detection	10	48	48	40	50	0	2.0	0.8196891498565674	sub-es13_00_0005.txt	1.0	1	0
145.6155	0.125	2nd/repetition	22	291231	20.0	CHOICE_A	1.0	8.752	4.0033	F	n/a	44	58	1	1	0.125	59.0	es13	detection	10	48	48	40	50	0	2.0	0.8196891498565674	sub-es13_00_0005.txt	1.0	2	0
157.321	0.125	1st/omission	11	314642	20.0	CHOICE_A	1.0	8.1816	3.0996	F	n/a	44	58	0	1	0.125	59.0	es13	detection	11	0	0	20	30	0	1.0	0.6471139144897461	sub-es13_00_0005.txt	1.0	1	0
158.321	0.125	2nd/omission	21	316642	20.0	CHOICE_A	1.0	8.1816	3.0996	F	n/a	44	58	0	1	0.125	59.0	es13	detection	11	0	0	20	30	0	1.0	0.6471139144897461	sub-es13_00_0005.txt	1.0	2	0
171.908	0.125	1st/omission	11	343816	20.0	CHOICE_A	1.0	9.8326	4.9625	F	n/a	44	58	0	1	0.125	59.0	es13	detection	12	24	24	20	30	0	1.0	0.8849190425872803	sub-es13_00_0005.txt	1.0	1	0
172.908	0.125	2nd/omission	21	345816	20.0	CHOICE_A	1.0	9.8326	4.9625	F	n/a	44	58	0	1	0.125	59.0	es13	detection	12	24	24	20	30	0	1.0	0.8849190425872803	sub-es13_00_0005.txt	1.0	2	0
185.752	0.125	1st/repetition	12	371504	20.0	CHOICE_A	1.0	9.0896	3.263	F	n/a	44	58	1	1	0.125	59.0	es13	detection	13	48	48	0	10	0	2.0	1.74473201751709	sub-es13_00_0005.txt	1.0	1	0
186.752	0.125	2nd/repetition	22	373504	20.0	CHOICE_A	1.0	9.0896	3.263	F	n/a	44	58	1	1	0.125	59.0	es13	detection	13	48	48	0	10	0	2.0	1.74473201751709	sub-es13_00_0005.txt	1.0	2	0
201.84	0.125	1st/repetition	12	403680	20.0	CHOICE_A	1.0	11.5673	2.8328	F	n/a	44	58	1	1	0.125	59.0	es13	detection	14	0	0	40	50	0	n/a	n/a	sub-es13_00_0005.txt	1.0	1	0
202.8395	0.125	2nd/repetition	22	405679	20.0	CHOICE_A	1.0	11.5673	2.8328	F	n/a	44	58	1	1	0.125	59.0	es13	detection	14	0	0	40	50	0	n/a	n/a	sub-es13_00_0005.txt	1.0	2	0
217.1155	0.125	1st/omission	11	434231	20.0	CHOICE_A	1.0	10.7522	5.6731	F	n/a	44	58	0	1	0.125	59.0	es13	detection	15	48	48	40	50	0	1.0	0.3679290962219238	sub-es13_00_0005.txt	1.0	1	0
218.1155	0.125	2nd/omission	21	436231	20.0	CHOICE_A	1.0	10.7522	5.6731	F	n/a	44	58	0	1	0.125	59.0	es13	detection	15	48	48	40	50	0	1.0	0.3679290962219238	sub-es13_00_0005.txt	1.0	2	0
233.7955	0.125	1st/omission	11	467591	20.0	CHOICE_A	1.0	11.9239	3.7431	F	n/a	44	58	0	1	0.125	59.0	es13	detection	16	24	24	0	10	0	1.0	1.0683480453491212	sub-es13_00_0005.txt	1.0	1	0
234.7955	0.125	2nd/omission	21	469591	20.0	CHOICE_A	1.0	11.9239	3.7431	F	n/a	44	58	0	1	0.125	59.0	es13	detection	16	24	24	0	10	0	1.0	1.0683480453491212	sub-es13_00_0005.txt	1.0	2	0
248.383	0.125	1st/repetition	12	496766	20.0	CHOICE_A	1.0	9.8351	3.8458	F	n/a	44	58	1	1	0.125	59.0	es13	detection	17	12	12	40	50	0	2.0	0.4401439380645752	sub-es13_00_0005.txt	1.0	1	0
249.3835	0.125	2nd/repetition	22	498767	20.0	CHOICE_A	1.0	9.8351	3.8458	F	n/a	44	58	1	1	0.125	59.0	es13	detection	17	12	12	40	50	0	2.0	0.4401439380645752	sub-es13_00_0005.txt	1.0	2	0
264.475	0.125	1st/repetition	12	528950	20.0	CHOICE_A	1.0	11.5685	4.8996	F	n/a	44	58	1	1	0.125	59.0	es13	detection	18	48	48	20	30	0	2.0	1.142408962249756	sub-es13_00_0005.txt	1.0	1	0
265.475	0.125	2nd/repetition	22	530950	20.0	CHOICE_A	1.0	11.5685	4.8996	F	n/a	44	58	1	1	0.125	59.0	es13	detection	18	48	48	20	30	0	2.0	1.142408962249756	sub-es13_00_0005.txt	1.0	2	0
278.796	0.125	1st/omission	11	557592	20.0	CHOICE_A	1.0	9.7987	2.1471	F	n/a	44	58	0	1	0.125	59.0	es13	detection	19	12	12	20	30	0	1.0	0.8240832042694092	sub-es13_00_0005.txt	1.0	1	0
279.796	0.125	2nd/omission	21	559592	20.0	CHOICE_A	1.0	9.7987	2.1471	F	n/a	44	58	0	1	0.125	59.0	es13	detection	19	12	12	20	30	0	1.0	0.8240832042694092	sub-es13_00_0005.txt	1.0	2	0
294.968	0.125	1st/omission	11	589936	20.0	CHOICE_A	1.0	11.4195	4.9004	F	n/a	44	58	0	1	0.125	59.0	es13	detection	20	36	36	20	30	0	1.0	0.6576651287078857	sub-es13_00_0005.txt	1.0	1	0
295.968	0.125	2nd/omission	21	591936	20.0	CHOICE_A	1.0	11.4195	4.9004	F	n/a	44	58	0	1	0.125	59.0	es13	detection	20	36	36	20	30	0	1.0	0.6576651287078857	sub-es13_00_0005.txt	1.0	2	0
310.3215	0.125	1st/repetition	12	620643	20.0	CHOICE_A	1.0	10.5997	5.9595	F	n/a	44	58	1	1	0.125	59.0	es13	detection	21	0	0	20	30	0	1.0	0.7096048545837402	sub-es13_00_0005.txt	1.0	1	0
311.3215	0.125	2nd/repetition	22	622643	20.0	CHOICE_A	1.0	10.5997	5.9595	F	n/a	44	58	1	1	0.125	59.0	es13	detection	21	0	0	20	30	0	1.0	0.7096048545837402	sub-es13_00_0005.txt	1.0	2	0
323.2	0.125	1st/omission	11	646400	20.0	CHOICE_A	1.0	8.3566	2.6562	F	n/a	44	58	0	1	0.125	59.0	es13	detection	22	0	0	0	10	0	1.0	0.7688678455352783	sub-es13_00_0005.txt	1.0	1	0
324.2	0.125	2nd/omission	21	648400	20.0	CHOICE_A	1.0	8.3566	2.6562	F	n/a	44	58	0	1	0.125	59.0	es13	detection	22	0	0	0	10	0	1.0	0.7688678455352783	sub-es13_00_0005.txt	1.0	2	0
339.849	0.125	1st/omission	11	679698	20.0	CHOICE_A	1.0	11.8969	4.8527	F	n/a	44	58	0	1	0.125	59.0	es13	detection	23	36	36	40	50	0	1.0	1.7373050403594972	sub-es13_00_0005.txt	1.0	1	0
340.8495	0.125	2nd/omission	21	681699	20.0	CHOICE_A	1.0	11.8969	4.8527	F	n/a	44	58	0	1	0.125	59.0	es13	detection	23	36	36	40	50	0	1.0	1.7373050403594972	sub-es13_00_0005.txt	1.0	2	0
354.737	0.125	1st/repetition	12	709474	20.0	CHOICE_A	1.0	10.1354	2.4888	F	n/a	44	58	1	1	0.125	59.0	es13	detection	24	48	48	0	10	0	2.0	0.4038931083679199	sub-es13_00_0005.txt	1.0	1	0
355.7365	0.125	2nd/repetition	22	711473	20.0	CHOICE_A	1.0	10.1354	2.4888	F	n/a	44	58	1	1	0.125	59.0	es13	detection	24	48	48	0	10	0	2.0	0.4038931083679199	sub-es13_00_0005.txt	1.0	2	0
