onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
25.5745	0.125	1st/omission/expected	111	51149	20.0	LOW_D	1.0	8.1832	2.4609	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	1	36	36	20	30	0	n/a	n/a	sub-es21_00_0011.txt	1.0	1	0
26.574	0.125	2nd/omission/expected	211	53148	20.0	LOW_D	1.0	8.1832	2.4609	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	1	36	36	20	30	0	n/a	n/a	sub-es21_00_0011.txt	1.0	2	0
36.04	0.125	1st/omission/expected	111	72080	20.0	LOW_D	1.0	9.2217	2.6882	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	2	0	0	40	50	0	n/a	n/a	sub-es21_00_0011.txt	1.0	1	0
37.0405	0.125	2nd/omission/expected	211	74081	20.0	LOW_D	1.0	9.2217	2.6882	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	2	0	0	40	50	0	n/a	n/a	sub-es21_00_0011.txt	1.0	2	0
48.659	0.125	1st/omission/expected	111	97318	20.0	LOW_D	1.0	11.371	4.4048	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	3	48	48	20	30	0	n/a	n/a	sub-es21_00_0011.txt	1.0	1	0
49.6595	0.125	2nd/omission/expected	211	99319	20.0	LOW_D	1.0	11.371	4.4048	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	3	48	48	20	30	0	n/a	n/a	sub-es21_00_0011.txt	1.0	2	0
60.41	0.125	1st/repetition/unexpected	122	120820	20.0	LOW_D	1.0	10.5037	2.8085	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	4	12	12	0	10	0	n/a	n/a	sub-es21_00_0011.txt	1.0	1	0
61.41	0.125	2nd/repetition/unexpected	222	122820	20.0	LOW_D	1.0	10.5037	2.8085	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	4	12	12	0	10	0	n/a	n/a	sub-es21_00_0011.txt	1.0	2	0
71.545	0.125	1st/omission/expected	111	143090	20.0	LOW_D	1.0	10.1196	3.3859	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	5	0	0	0	10	0	n/a	n/a	sub-es21_00_0011.txt	1.0	1	0
72.545	0.125	2nd/omission/expected	211	145090	20.0	LOW_D	1.0	10.1196	3.3859	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	5	0	0	0	10	0	n/a	n/a	sub-es21_00_0011.txt	1.0	2	0
84.458	0.125	1st/omission/expected	111	168916	20.0	LOW_D	1.0	11.6646	4.9128	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	6	24	24	30	40	0	n/a	n/a	sub-es21_00_0011.txt	1.0	1	0
85.458	0.125	2nd/omission/expected	211	170916	20.0	LOW_D	1.0	11.6646	4.9128	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	6	24	24	30	40	0	n/a	n/a	sub-es21_00_0011.txt	1.0	2	0
95.693	0.125	1st/omission/expected	111	191386	20.0	LOW_D	1.0	9.9878	4.7136	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	7	24	24	0	10	0	n/a	n/a	sub-es21_00_0011.txt	1.0	1	0
96.693	0.125	2nd/omission/expected	211	193386	20.0	LOW_D	1.0	9.9878	4.7136	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	7	24	24	0	10	0	n/a	n/a	sub-es21_00_0011.txt	1.0	2	0
106.766	0.125	1st/repetition/unexpected	122	213532	20.0	LOW_D	1.0	9.825	2.6982	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	8	36	36	40	50	0	n/a	n/a	sub-es21_00_0011.txt	1.0	1	0
107.7655	0.125	2nd/repetition/unexpected	222	215531	20.0	LOW_D	1.0	9.825	2.6982	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	8	36	36	40	50	0	n/a	n/a	sub-es21_00_0011.txt	1.0	2	0
119.5695	0.125	1st/omission/expected	111	239139	20.0	LOW_D	1.0	11.7878	3.0086	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	9	36	36	0	10	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
120.5695	0.125	2nd/omission/expected	211	241139	20.0	LOW_D	1.0	11.7878	3.0086	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	9	36	36	0	10	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
128.967	0.125	1st/omission/expected	111	257934	20.0	LOW_D	1.0	8.1518	2.5263	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	10	48	48	40	50	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
129.967	0.125	2nd/omission/expected	211	259934	20.0	LOW_D	1.0	8.1518	2.5263	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	10	48	48	40	50	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
140.5735	0.125	1st/omission/expected	111	281147	20.0	LOW_D	1.0	10.3591	5.2116	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	11	0	0	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
141.5735	0.125	2nd/omission/expected	211	283147	20.0	LOW_D	1.0	10.3591	5.2116	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	11	0	0	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
152.914	0.125	1st/repetition/unexpected	122	305828	20.0	LOW_D	1.0	11.0938	2.4977	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	12	24	24	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
153.914	0.125	2nd/repetition/unexpected	222	307828	20.0	LOW_D	1.0	11.0938	2.4977	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	12	24	24	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
164.163	0.125	1st/repetition/unexpected	122	328326	20.0	LOW_D	1.0	10.2339	4.3808	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	13	48	48	0	10	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
165.163	0.125	2nd/repetition/unexpected	222	330326	20.0	LOW_D	1.0	10.2339	4.3808	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	13	48	48	0	10	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
173.9185	0.125	1st/omission/expected	111	347837	20.0	LOW_D	1.0	8.7409	2.5122	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	14	0	0	40	50	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
174.9185	0.125	2nd/omission/expected	211	349837	20.0	LOW_D	1.0	8.7409	2.5122	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	14	0	0	40	50	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
184.6355	0.125	1st/omission/expected	111	369271	20.0	LOW_D	1.0	9.4698	2.9486	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	15	48	48	40	50	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
185.6355	0.125	2nd/omission/expected	211	371271	20.0	LOW_D	1.0	9.4698	2.9486	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	15	48	48	40	50	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
196.6415	0.125	1st/omission/expected	111	393283	20.0	LOW_D	1.0	10.7601	5.7860000000000005	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	16	24	24	0	10	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
197.6415	0.125	2nd/omission/expected	211	395283	20.0	LOW_D	1.0	10.7601	5.7860000000000005	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	16	24	24	0	10	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
208.981	0.125	1st/repetition/unexpected	122	417962	20.0	LOW_D	1.0	11.0926	2.8759	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	17	12	12	40	50	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
209.981	0.125	2nd/repetition/unexpected	222	419962	20.0	LOW_D	1.0	11.0926	2.8759	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	17	12	12	40	50	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
219.392	0.125	1st/omission/expected	111	438784	20.0	LOW_D	1.0	9.3965	3.3458	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	18	48	48	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
220.392	0.125	2nd/omission/expected	211	440784	20.0	LOW_D	1.0	9.3965	3.3458	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	18	48	48	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
229.322	0.125	1st/omission/expected	111	458644	20.0	LOW_D	1.0	8.6837	2.1911	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	19	12	12	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
230.322	0.125	2nd/omission/expected	211	460644	20.0	LOW_D	1.0	8.6837	2.1911	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	19	12	12	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
239.119	0.125	1st/omission/expected	111	478238	20.0	LOW_D	1.0	8.5499	3.752	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	20	36	36	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
240.119	0.125	2nd/omission/expected	211	480238	20.0	LOW_D	1.0	8.5499	3.752	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	20	36	36	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
251.023	0.125	1st/repetition/unexpected	122	502046	20.0	LOW_D	1.0	10.6564	2.0946	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	21	0	0	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
252.023	0.125	2nd/repetition/unexpected	222	504046	20.0	LOW_D	1.0	10.6564	2.0946	F	11.0	47	46	1	8	0.125	53.0	es21	expsupp	21	0	0	20	30	0	n/a	n/a	sub-es21_00_0012.txt	1.0	2	0
263.123	0.125	1st/omission/expected	111	526246	20.0	LOW_D	1.0	11.0843	4.6777	F	11.0	47	46	0	8	0.125	53.0	es21	expsupp	22	0	0	0	10	0	n/a	n/a	sub-es21_00_0012.txt	1.0	1	0
